cghs_code,canonical_name,rate_x_tier,rate_y_tier,rate_z_tier,source_om,source_date,notes
NU002,Biomedical Waste Charges,100,90,80,CGHS OM F.No. 5-16/CGHS(HQ)/HEC/2024(PartI),2025-10-03,Daily IPD - bundled into room rent
NU003,Ward Sundry Charges,100,90,80,CGHS OM F.No. 5-16/CGHS(HQ)/HEC/2024(PartI),2025-10-03,Generally bundled into room rent
NU004,Nursing Care - General Ward,200,180,160,CGHS OM F.No. 5-16/CGHS(HQ)/HEC/2024(PartI),2025-10-03,Per day - typically bundled
OT_EQ_001,Operating Theatre Camera Usage,300,270,240,CGHS OM F.No. 5-16/CGHS(HQ)/HEC/2024(PartI),2025-10-03,Per procedure - often bundled
OT_EQ_002,Operating Theatre Light Source Usage,500,450,400,CGHS OM F.No. 5-16/CGHS(HQ)/HEC/2024(PartI),2025-10-03,Per procedure - often bundled
OT_EQ_003,Operating Theatre Monitor Usage,400,360,320,CGHS OM F.No. 5-16/CGHS(HQ)/HEC/2024(PartI),2025-10-03,Multi-parameter monitor
OT_EQ_004,Operating Theatre Ventilator Usage,1500,1350,1200,CGHS OM F.No. 5-16/CGHS(HQ)/HEC/2024(PartI),2025-10-03,Per procedure
OT_EQ_005,Operating Theatre Diathermy Usage,800,720,640,CGHS OM F.No. 5-16/CGHS(HQ)/HEC/2024(PartI),2025-10-03,Electrosurgical cautery
OT_EQ_006,Operating Theatre Anaesthesia Machine,500,450,400,CGHS OM F.No. 5-16/CGHS(HQ)/HEC/2024(PartI),2025-10-03,Boyle's apparatus
OT_GAS_001,Oxygen Supply (Operative),200,180,160,CGHS OM F.No. 5-16/CGHS(HQ)/HEC/2024(PartI),2025-10-03,Per procedure
OT_GAS_002,Nitrous Oxide Gas,300,270,240,CGHS OM F.No. 5-16/CGHS(HQ)/HEC/2024(PartI),2025-10-03,Per procedure
DI_001,Diet Package,300,270,240,CGHS OM F.No. 5-16/CGHS(HQ)/HEC/2024(PartI),2025-10-03,Per day IPD - usually bundled
